"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"80","3.18904526","3.814E-5","0.31357347","0.0","4","6","false","PSME3","163.0","4","0","0","0.72636934","false","0","PSME3","40140","0.2788296"
"82","2.75465957","0.00120487","0.36302126","0.08496732","18","6","false","VHL","141.72222222","18","0","0","0.78066755","false","0","VHL","820334","0.07821435"
"84","3.13389121","8.223E-5","0.31909212","0.0","4","6","false","STRAP","198.75","4","0","0","0.7332636","false","0","STRAP","63438","0.27734923"
"86","3.05971852","1.1553E-4","0.32682745","0.44444444","9","7","false","NBN","151.55555556","9","0","0","0.74253518","false","0","NBN","67470","0.14464608"
"88","2.84728033","0.00450516","0.35121234","0.03653846","65","6","false","BRCA2","24.13846154","65","0","0","0.76908996","false","0","BRCA2","2464632","0.02941736"
"90","2.29117535","0.02187698","0.43645721","0.08566896","62","5","false","TP53","126.33870968","62","0","0","0.83860308","false","0","TP53","12757596","0.03261241"
"92","2.41289464","0.07538144","0.41443998","0.010896","404","6","false","BRCA1","17.14356436","404","0","0","0.82338817","false","0","BRCA1","42954034","0.00654103"
"94","2.79535945","0.00141847","0.35773575","0.26373626","14","6","false","MSH2","207.14285714","14","0","0","0.77558007","false","0","MSH2","1473236","0.09995171"
"96","3.04355268","1.0945E-4","0.32856339","0.3","5","5","false","DAPK3","257.4","5","0","0","0.74455591","false","0","DAPK3","54442","0.22783688"
"98","2.70540129","0.00111157","0.36963093","0.35164835","14","6","false","TP53BP1","249.42857143","14","0","0","0.78682484","false","0","TP53BP1","1751690","0.10793101"
"100","2.65462153","0.01155435","0.37670153","0.03227233","117","6","false","ATM","28.07692308","117","0","0","0.79317231","false","0","ATM","5496474","0.01539694"
"102","2.77025485","9.2372E-4","0.36097762","0.14619883","19","6","false","PML","147.05263158","19","0","0","0.77871814","false","0","PML","677474","0.07819068"
"104","2.91517687","1.0468E-4","0.34303236","0.4","6","5","false","FOXM1","321.16666667","6","0","0","0.76060289","false","0","FOXM1","158338","0.20224601"
"106","2.59376189","0.0065368","0.3855404","0.06236559","31","5","false","APP","119.74193548","31","0","0","0.80077976","false","0","APP","3403198","0.04730671"
"108","3.0363256","2.4016E-4","0.32934544","0.12727273","11","6","false","HDAC7","125.72727273","11","0","0","0.7454593","false","0","HDAC7","150568","0.12378728"
"110","2.83529859","6.454E-4","0.35269654","0.14285714","14","5","false","CUL1","190.0","14","0","0","0.77058768","false","0","CUL1","639058","0.10006028"
"112","2.61563332","0.00237114","0.38231659","0.18666667","25","6","false","STAT1","167.08","25","0","0","0.79804583","false","0","STAT1","1724218","0.06714918"
"114","2.08767592","0.09252631","0.47900155","0.03509317","161","5","false","UBC","74.40993789","161","0","0","0.86404051","false","0","UBC","30534626","0.01591965"
"116","2.60954736","0.00217115","0.38320822","0.18954248","18","5","false","VCP","210.05555556","18","0","0","0.79880658","false","0","VCP","2428580","0.08240632"
"118","2.60232027","0.00539367","0.38427245","0.06021505","31","6","false","ELAVL1","127.4516129","31","0","0","0.79970997","false","0","ELAVL1","3599990","0.05041522"
"120","3.04241156","3.684E-5","0.32868663","0.4","5","6","false","CDC25A","291.8","5","0","0","0.74469855","false","0","CDC25A","54502","0.24320267"
"122","2.87390643","3.1299E-4","0.34795844","0.29487179","13","6","false","NR4A1","179.15384615","13","0","0","0.7657617","false","0","NR4A1","283512","0.11676451"
"124","2.84766071","6.6122E-4","0.35116543","0.16363636","11","6","false","PLK1","187.63636364","11","0","0","0.76904241","false","0","PLK1","443942","0.12062712"
"126","2.88855078","4.9413E-4","0.34619436","0.2","11","6","false","PPP2CA","204.63636364","11","0","0","0.76393115","false","0","PPP2CA","514324","0.12039167"
"128","2.70368962","0.00100166","0.36986494","0.21904762","21","6","false","KAT2B","163.85714286","21","0","0","0.7870388","false","0","KAT2B","859486","0.07821992"
"130","2.78014454","0.00472418","0.35969353","0.04409673","38","5","false","HNF4A","78.21052632","38","0","0","0.77748193","false","0","HNF4A","1935596","0.04231728"
"132","2.75884367","9.9001E-4","0.3624707","0.26373626","14","5","false","ATR","195.0","14","0","0","0.78014454","false","0","ATR","1005284","0.10266446"
"134","2.8282617","4.612E-4","0.35357407","0.18181818","11","5","false","CUL4A","231.45454545","11","0","0","0.77146729","false","0","CUL4A","512828","0.12275622"
"136","3.62590339","0.0","0.27579334","1.0","2","7","false","PER3","88.0","2","0","0","0.67176208","false","0","PER3","0","0.56410256"
"138","2.6144922","0.00287367","0.38248345","0.14021164","28","5","false","MDM2","142.0","28","0","0","0.79818847","false","0","MDM2","1892060","0.05906765"
"140","3.36858121","8.59E-6","0.29686089","0.0","2","6","false","ARHGAP1","198.5","2","0","0","0.70392735","false","0","ARHGAP1","5800","0.51033592"
"142","2.97850894","3.2913E-4","0.33573846","0.57142857","8","7","false","RAD50","240.125","8","0","0","0.75268638","false","0","RAD50","555246","0.15643322"
"144","2.56333207","0.00232702","0.39011723","0.23976608","19","5","false","PRKDC","236.68421053","19","0","0","0.80458349","false","0","PRKDC","3115506","0.08226771"
"146","2.99505515","3.0494E-4","0.33388367","0.39285714","8","7","false","MDC1","227.375","8","0","0","0.75061811","false","0","MDC1","509904","0.1548876"
"148","3.14720426","7.225E-5","0.31774233","0.2","5","6","false","CDC25C","168.2","5","0","0","0.73159947","false","0","CDC25C","60708","0.24597365"
"150","2.85812096","9.7485E-4","0.34988022","0.07575758","12","6","false","UBR5","160.91666667","12","0","0","0.76773488","false","0","UBR5","837792","0.10369532"
"152","3.54317231","4.53E-6","0.28223296","0.0","3","7","false","RCHY1","56.0","3","0","0","0.68210346","false","0","RCHY1","1978","0.35714286"
"154","3.13198935","8.284E-5","0.31928589","0.0","4","5","false","LATS2","225.0","4","0","0","0.73350133","false","0","LATS2","61256","0.2619883"
"156","3.05933815","1.4656E-4","0.32686808","0.1","5","5","false","HDAC8","249.6","5","0","0","0.74258273","false","0","HDAC8","180394","0.22554348"
"158","3.81589958","2.37E-6","0.2620614","0.0","2","7","false","PLK3","56.0","2","0","0","0.64801255","false","0","PLK3","1662","0.52380952"
"160","3.30962343","0.0","0.30214918","1.0","3","7","false","RNF8","193.33333333","3","0","0","0.71129707","false","0","RNF8","0","0.37982973"
"162","3.2248003","1.5825E-4","0.31009672","0.0","4","6","false","SIRT5","225.5","4","0","0","0.72189996","false","0","SIRT5","87476","0.26288056"
"164","2.95720806","5.4762E-4","0.33815679","0.07142857","8","5","false","SRPK1","209.125","8","0","0","0.75534899","false","0","SRPK1","563622","0.14040404"
"166","3.8645873","0.0","0.25875984","0.0","1","7","false","PPP2R5E","59.0","1","0","0","0.64192659","false","0","PPP2R5E","0","0.0"
"168","2.98820844","6.426E-5","0.33464868","0.6","5","6","false","KPNA2","352.8","5","0","0","0.75147394","false","0","KPNA2","51002","0.24551148"
"170","3.8645873","0.0","0.25875984","0.0","1","7","false","GINS2","59.0","1","0","0","0.64192659","false","0","GINS2","0","0.0"
"172","3.46899962","2.52E-6","0.28826754","0.0","2","7","false","PPP2R5B","123.0","2","0","0","0.69137505","false","0","PPP2R5B","2490","0.52360515"
"174","3.18733359","1.085E-4","0.31374187","0.16666667","4","6","false","PPP2R5A","255.75","4","0","0","0.7265833","false","0","PPP2R5A","96610","0.27067869"
"176","3.40699886","5.61E-6","0.29351345","0.0","2","6","false","PPP2R5D","151.0","2","0","0","0.69912514","false","0","PPP2R5D","4288","0.51546392"
"178","3.19399011","7.85E-6","0.31308801","0.66666667","4","7","false","PPP2R5C","191.75","4","0","0","0.72575124","false","0","PPP2R5C","8010","0.295"
"180","2.80353747","0.00105357","0.35669222","0.07142857","8","5","false","PPP2R1A","288.875","8","0","0","0.77455782","false","0","PPP2R1A","1290192","0.15211082"
"182","2.91707874","1.385E-4","0.34280871","0.52380952","7","5","false","MDM4","282.28571429","7","0","0","0.76036516","false","0","MDM4","259738","0.18657351"
"184","2.95930011","1.2521E-4","0.33791774","0.38095238","7","6","false","TRIM28","242.71428571","7","0","0","0.75508749","false","0","TRIM28","169890","0.17981574"
"186","3.64054774","4.14E-6","0.27468394","0.0","2","7","false","REV3L","123.5","2","0","0","0.66993153","false","0","REV3L","4018","0.52350427"
"188","3.68543172","4.14E-6","0.27133863","0.0","2","7","false","PPP2R2B","99.5","2","0","0","0.66432103","false","0","PPP2R2B","3058","0.52673797"
"190","3.57626474","8.6E-7","0.27962136","0.0","2","6","false","MUS81","56.0","2","0","0","0.67796691","false","0","MUS81","504","0.52884615"
"192","3.8645873","0.0","0.25875984","0.0","1","7","false","POLR2L","59.0","1","0","0","0.64192659","false","0","POLR2L","0","0.0"
"195","2.91422594","0.0045388","0.34314429","0.01176471","35","6","false","PAWR","22.91428571","35","0","0","0.76072176","false","0","PAWR","1028250","0.03625293"
"198","2.66983644","0.13020916","0.37455478","5.0891E-4","655","6","false","SIRT7","4.20305344","655","0","0","0.79127045","false","0","SIRT7","157917376","0.00512257"
"200","2.4720426","0.04430381","0.40452377","0.0110873","243","5","false","GSK3B","20.58024691","243","0","0","0.81599467","false","0","GSK3B","17625630","0.00821195"
"201","2.46405477","0.03574433","0.40583513","0.01488834","248","5","false","AKT1","22.08870968","248","0","0","0.81699315","false","0","AKT1","16535264","0.00860757"
"203","2.50456447","0.02480941","0.39927102","0.0229429","187","6","false","MAPK1","26.99465241","187","0","0","0.81192944","false","0","MAPK1","11516240","0.01105965"
"205","2.56485356","0.00438869","0.38988581","0.12878788","33","6","false","CTNNB1","140.27272727","33","0","0","0.80439331","false","0","CTNNB1","2848764","0.0521122"
"207","3.11829593","5.2231E-4","0.32068797","0.04761905","7","6","false","PTN","104.42857143","7","0","0","0.73521301","false","0","PTN","200798","0.1635872"
"209","3.05249144","1.8701E-4","0.32760125","0.10714286","8","6","false","CHD3","114.0","8","0","0","0.74343857","false","0","CHD3","124828","0.15153538"
"211","2.7835679","0.00407396","0.35925116","0.03453453","37","5","false","STK11","43.97297297","37","0","0","0.77705401","false","0","STK11","1050594","0.03565173"
